Location,Latitude,Longitude,Parking_Type
South Garage - UMass Lowell South Campus,42.64089783,-71.33590413,parking garage
St Marys St/Monmouth St,42.3449046,-71.1061225,parking garage
Station Landing/Presidents Landing - Station Landing Garage,42.40251306,-71.08029842,parking garage
Stuart St/Charles St S - Revere Hotel,42.35067365,-71.06740076,parking garage
Sudbury St/Merrimac St - Government Ctr Garage,42.36255573,-71.05921425,parking garage
Sudbury St/Merrimac St - Government Ctr Garage (Zipvan),42.3625125,-71.05995908,parking garage
Third St/Munroe St - Third Sq Apts,42.3649831,-71.08314693,parking garage
Two Ctr Plaza,42.35977028,-71.0600923,parking garage
Two Financial Center,42.351856,-71.0569079,parking garage
Two International Place/Purchase St,42.35649054,-71.05167389,parking garage
Vassar St - Stata Ctr - MIT,42.36198457,-71.09059811,parking garage
W 1st/D St - West Sq Apts,42.34115264,-71.04943219,parking garage
Wellesley College- Davis Parking Facility,42.2952526,-71.30939126,parking garage
Woodland T,42.33211633,-71.2413463,parking garage
Wooley Ave/Kingsbury Ave - The Arsenal on the Charles,42.36292002,-71.1655283,parking garage
