longitude,latitude,hour,dayofweek
-71.1404928,42.2538168,14,1
-69.97403609999998,41.8299634,14,1
-71.1150232,42.366243,15,1
-71.082244719323,42.36297353462129,14,1
-71.10240328703705,42.33931341592593,16,1
-71.11471540000002,42.3677577,15,1
-71.1677998,42.285665099999996,16,1
-71.09772470000001,42.34265,17,1
-71.05605458047944,42.35121794634836,15,1
-71.0470593,42.351383,15,1
-71.07338598132228,42.35040667568914,15,1
-71.0632794,42.2898305,15,1
-71.06616300000002,42.4250964,17,1
-71.12917809999999,42.355042,17,1
-71.1488266,42.3982246,18,1
-71.0795663,42.3342831,18,1
-71.1214911,42.3244433,18,1
-71.0762907,42.3685673,18,1
-71.09277159999999,42.3725275,18,1
-71.089892,42.3650408,19,1
-71.1583713,42.349153699999995,19,1
-71.09597105058049,42.34316780584798,14,1
-71.1303798,42.390179499999995,15,1
-71.0564017,42.2878069,15,1
-71.0614451,42.3594505,15,1
-71.056125,42.3561672,17,1
-71.08163059999998,42.3622387,17,1
-71.16136,42.3632879,17,1
-71.05705185172505,42.330488886260184,17,1
-71.08512878276663,42.34098815940717,17,1
-71.07142319909134,42.335808545679015,17,1
-71.0795663,42.3342831,18,1
-71.06760500000001,42.30163049999999,15,1
-71.1390888,42.3448467,15,1
-71.0465802,42.3511205,16,1
-71.12384295560568,42.36465567296687,16,1
-71.1062417,42.3417725,17,1
-71.14488899999998,42.34454700000001,17,1
-71.02171550000003,42.263988,18,1
-71.13803074627488,42.34847847164408,18,1
-71.00955999999996,42.365613,18,1
-71.13313399999998,42.348782,18,1
-71.13803074627488,42.34847847164408,18,1
-71.16182779999997,42.3744841,19,1
-71.0629957,42.355472899999995,18,1
-71.1148405,42.3711421,19,1
-71.20015222952649,42.3867256933899,15,1
-71.1150232,42.366243,14,1
-71.1843543,42.3653524,14,1
-71.14155920000002,42.3448424,14,1
-71.11471540000002,42.3677577,15,1
-71.08830591157965,42.34573620647858,15,1
-71.11471540000002,42.3677577,15,1
-71.11471540000002,42.3677577,15,1
-71.12761872663913,42.35327597001294,15,1
-71.0466763,42.3511988,17,1
-71.1036189,42.336238,16,1
-71.055708,42.3376242,16,1
-71.12699900000001,42.331333,16,1
-71.1291091,42.3550174,16,1
-71.2001269601792,42.3866421811287,17,1
-71.0438222,42.3545997,17,1
-71.12100339999999,42.341929,16,1
-71.12231509999998,42.3967172,17,1
-71.11591321422821,42.351341438519164,18,1
-71.12231509999998,42.3967172,16,1
-71.0438222,42.3545997,16,1
-71.08246129999998,42.3683353,16,1
-71.14174359999998,42.3434985,16,1
-71.10240328703705,42.33931341592593,16,1
-71.0585488,42.3573939,18,1
-71.1150232,42.366243,18,1
-71.12220567657717,42.33419550121048,18,1
-71.0755565,42.349265,18,1
-71.0585488,42.3573939,18,1
-71.0555669,42.3587887,18,1
-71.0616623,42.4573354,18,1
-71.05589229999998,42.3088477,18,1
-71.046542,42.351072099999996,17,1
-71.0705763,42.3377967,19,1
-71.023916,42.360651399999995,19,1
-71.11940658238147,42.388331336941356,18,1
-118.32755909999999,33.920912099999995,19,1
-71.05888010000001,42.3600825,19,1
-71.06912938066547,42.27261053393192,19,1
-71.0858404,42.3416917,14,1
-71.10309440000003,42.31446469999999,16,1
-71.1303798,42.390179499999995,15,1
-71.05025899999998,42.351431,16,1
-71.11027942499818,42.30728452288121,15,1
-71.07230950000002,42.3442219,16,1
-71.0470125,42.35129149999999,16,1
-70.32091129999998,41.69909579999999,15,1
-71.0563365,42.2878164,15,1
-71.1161708968194,42.3511446863984,15,1
-71.011369,42.266985,15,1
-71.04825299999999,42.3495918,16,1
-71.12384295560568,42.36465567296687,16,1
-71.05502059999999,42.357541499999996,14,1
-71.0438222,42.3545997,15,1
-71.1346337,42.3474405,16,1
-71.11795289999999,42.347751699999996,18,1
-71.06616300000002,42.4250964,19,1
-71.0826729856754,42.347570652173395,18,1
-71.0470125,42.35129149999999,18,1
-71.12203602685697,42.39572587892636,18,1
-71.1215873971704,42.3724932267182,16,1
-71.05236500000001,42.320682,16,1
-71.1001671,42.3963026,18,1
-71.06712089999999,42.3787792,19,1
-71.1150232,42.366243,17,1
-71.1800334,42.3650134,17,1
-71.0472644976455,42.3510645990239,17,1
-71.08772269999997,42.3607011,17,1
-71.0472098370056,42.3513756802897,17,1
-71.1218361,42.3905881,17,1
-71.07010037212449,42.35016715393438,17,1
-71.0472527,42.3505213,17,1
-71.1218361,42.3905881,17,1
-71.06616300000002,42.4250964,17,1
-71.02420569999998,42.4997829,17,1
-71.1214911,42.3244433,19,1
-71.0266385,42.3598707,19,1
-71.1151269,42.3582247,19,1
-71.1039309,42.3140125,19,1
-71.05530399999998,42.352311,19,1
-71.2524956,42.3364161,19,1
-71.1843543,42.3653524,14,1
-71.15089999999999,42.3516,15,1
-71.11471540000002,42.3677577,15,1
-71.0550652,42.3586616,16,1
-71.14174359999998,42.3434985,17,1
-71.0815928,42.3664168,17,1
-71.14174359999998,42.3434985,17,1
-71.1346615,42.3474587,17,1
-71.08163059999998,42.3622387,17,1
-71.1117644,42.3695966,17,1
-71.05705185172505,42.330488886260184,17,1
-71.07010037212449,42.35016715393438,17,1
-71.0616623,42.4573354,17,1
-71.13337964347994,42.3932722258444,18,1
-71.12917809999999,42.355042,17,1
-71.1154112,42.2582847,17,1
-71.0506699,42.3493432,18,1
-71.12281683648723,42.39842378872287,18,1
-71.1179367,42.3477136,18,1
-71.08926320455139,42.3420384480081,14,1
-71.08958062722449,42.34203069474766,14,1
-71.08769855468636,42.33628062535295,15,1
-71.0562755,42.2877719,15,1
-71.1150232,42.366243,15,1
-71.10235460000001,42.3430368,16,1
-71.12231509999998,42.3967172,16,1
-71.1150232,42.366243,16,1
-71.00400130000003,42.2079017,16,1
-71.07478950000001,42.34984679999999,15,1
-71.1676888,42.285739299999996,16,1
-71.1002881,42.3476181,18,1
-71.1583713,42.349153699999995,19,1
-118.14451550000001,34.1477849,19,1
-71.0705763,42.3377967,18,1
-71.12999130744346,42.38677076747931,19,1
-71.06616300000002,42.4250964,19,1
-71.00955999999996,42.365613,19,1
-71.100241,42.3646117,22,1
-71.13258960000002,42.3528732,22,1
-71.088686,42.3428124,22,1
-71.07561827276515,42.336207872366735,23,1
-71.07601005961416,42.336599659220376,23,1
-71.08341177481911,42.336051326420126,1,2
-75.2005014,39.9544488,1,2
-71.0518712348851,42.357887306806646,2,2
-71.02596122680143,42.277919839587696,5,2
-71.05823750000002,42.3652673,8,2
-71.1137405,42.3058624,8,2
-71.13444099999998,42.361495,8,2
-71.03123169999998,42.3339115,8,2
-71.12807141623564,42.35324605837683,8,2
-71.1378635954872,42.34857363062531,8,2
-71.09828449999999,42.3662602,8,2
-71.14155920000002,42.3448424,8,2
-71.05835409999997,42.3624797,8,2
-71.1004752,42.3151842,8,2
-71.01565785712657,42.27186201144221,8,2
-71.1762934,42.3675049,8,2
-71.01564445111542,42.27187292083963,8,2
-71.0956018,42.3796536,9,2
-71.0971354,42.3925557,8,2
-71.083152,42.3415723,8,2
-71.0473339,42.3513101,9,2
-71.0835942,42.3388374,5,2
-71.10535350269105,42.38326735894865,6,2
-71.11647242319252,42.36823504795819,6,2
-71.05265539999999,42.3593074,6,2
-71.10737390026334,42.39386143322134,7,2
-71.13265969999999,42.3899743,7,2
-71.0532692992463,42.32974827973541,7,2
